100.2667,6.4833,68.6,61,88
99.7333,6.3333,49.8,40.6,166
100.4,6.2,99.4,277.8,67.4
100.3833,5.4667,31.6,58.9,143.2
100.4,5.35,33.8,208.1,153.4
100.2667,5.3,39.8,125.2,144.4
101.1,4.5833,242.4,364.2,42.6
101.3667,4.4667,117.2,252,223.2
100.9,4.8,62.6,156.4,98.4
100.7,4.2167,49.8,44.4,26.8
101.55,3.1167,199,329.2,68.2
101.65,3.1,139.8,321,196.2
101.7,2.7167,78.6,186.2,188.8
102.25,2.2667,62.4,113.8,183.4
102.9833,1.8667,219,182,195
103.31,2.0167,39.4,92.4,130.2
103.6667,1.6333,176.3,148.6,296
102.2833,6.1667,7,115.2,109.2
102.2,5.5333,16.6,166,238.7
103.1,5.3833,0.2,121,64.8
103.2167,3.7833,35.2,79.2,270.4
102.35,3.9667,103.2,146.2,256.2
102.3833,3.4667,25.6,114.2,324.2
103.0833,3.05,85,131.6,204.8
103.8333,2.45,16.4,183.4,196.2